2018-10-07 18:54:57,544 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
2018-10-07 18:54:57,544 [DEBUG|FireBrigade/1294982624|TestSearchForFire] best path is:[1587, 6504, 4515, 32979, 32980, 2463, 5271, 3489, 1378, 8628, 33789, 12725, 12709]
2018-10-07 18:54:57,544 [DEBUG|FireBrigade/1294982624|TestSearchForFire] choosed:33789
2018-10-07 18:55:00,072 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Time:7
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestSearchForFire] Time:7
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] ====================================================================
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Fire Building: [Building (29979)]
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Cluster Fire Building: []
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestSearchForFire] best path is:[1587, 6504, 4515, 32979, 32980, 2463, 5271, 3489, 1378, 8628, 33789, 12725, 12709]
2018-10-07 18:55:00,073 [DEBUG|FireBrigade/1294982624|TestSearchForFire] choosed:33789
2018-10-07 18:55:03,381 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Time:8
2018-10-07 18:55:03,428 [DEBUG|FireBrigade/1294982624|TestSearchForFire] Time:8
2018-10-07 18:55:03,429 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] ====================================================================
2018-10-07 18:55:03,429 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Fire Building: [Building (29979)]
2018-10-07 18:55:03,429 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Cluster Fire Building: []
2018-10-07 18:55:03,450 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
2018-10-07 18:55:03,450 [DEBUG|FireBrigade/1294982624|TestSearchForFire] best path is:[1587, 6504, 4515, 32979, 32980, 2463, 5271, 3489, 1378, 8628, 33789, 12725, 12709]
2018-10-07 18:55:03,450 [DEBUG|FireBrigade/1294982624|TestSearchForFire] choosed:33789
2018-10-07 18:55:07,456 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Time:9
2018-10-07 18:55:07,467 [DEBUG|FireBrigade/1294982624|TestSearchForFire] Time:9
2018-10-07 18:55:07,511 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
2018-10-07 18:55:07,511 [DEBUG|FireBrigade/1294982624|TestSearchForFire] best path is:[1587, 6504, 4515, 32979, 32980, 2463, 5271, 3489, 1378, 8628, 33789, 12725, 12709]
2018-10-07 18:55:07,511 [DEBUG|FireBrigade/1294982624|TestSearchForFire] choosed:33789
2018-10-07 18:55:09,817 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Time:10
2018-10-07 18:55:09,851 [DEBUG|FireBrigade/1294982624|TestSearchForFire] Time:10
2018-10-07 18:55:09,852 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
2018-10-07 18:55:09,852 [DEBUG|FireBrigade/1294982624|TestSearchForFire] best path is:[1587, 6504, 4515, 32979, 32980, 2463, 5271, 3489, 1378, 8628, 33789, 12725, 12709]
2018-10-07 18:55:09,852 [DEBUG|FireBrigade/1294982624|TestSearchForFire] choosed:33789
2018-10-07 18:55:13,285 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Time:11
2018-10-07 18:55:13,296 [DEBUG|FireBrigade/1294982624|TestSearchForFire] Time:11
2018-10-07 18:55:13,296 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
2018-10-07 18:55:13,296 [DEBUG|FireBrigade/1294982624|TestSearchForFire] best path is:[1587, 6504, 4515, 32979, 32980, 2463, 5271, 3489, 1378, 8628, 33789, 12725, 12709]
2018-10-07 18:55:13,297 [DEBUG|FireBrigade/1294982624|TestSearchForFire] choosed:33789
2018-10-07 18:55:15,632 [DEBUG|FireBrigade/1294982624|TestBuildingDetector] Time:12
2018-10-07 18:55:15,640 [DEBUG|FireBrigade/1294982624|TestSearchForFire] Time:12
2018-10-07 18:55:15,640 [DEBUG|FireBrigade/1294982624|TestSearchForFire] unsearchedBuildingIDs:[33664, 11137, 33667, 32643, 16708, 32644, 33670, 28617, 12682, 29898, 27146, 24395, 23501, 33742, 17935, 22097, 10066, 12563, 12502, 17366, 33623, 15128, 24985, 19929, 15002, 28699, 24923, 33691, 22043, 17502, 22239, 19871, 36066, 32674, 12709, 33767, 14887, 32683, 17902, 32624, 29297, 23474, 33717, 12535, 24952, 27067, 22270]
